,id,name,name_scientific,description,itis_id,wikipedia_id,wikipedia_id.1,picture_content_type,picture_file_size,picture_updated_at,legacy_id,food_group,food_subgroup,food_type,created_at,updated_at,creator_id,updater_id,export_to_afcdb,category,ncbi_taxonomy_id,export_to_foodb
15,16,Peanut,Arachis hypogaea,"The peanut, also known as the groundnut and the goober and taxonomically classified as <i>Arachis hypogaea</i>, is a legume crop grown mainly for its edible seeds. It is widely grown in the tropics and subtropics, being important to both small and large commercial producers. It is classified as both a grain legume and, because of its high oil content, an oil crop. World annual production of shelled peanuts was 42 million tonnes in 2014. Atypically among crop plants, peanut pods develop underground rather than aboveground. It is this characteristic that the botanist Linnaeus used to assign the specific name <i>hypogaea</i>, which means ""under the earth."" (Wikipedia)",26463.0,Mr. Peanut,16.jpg,image/jpeg,285702.0,2012-04-20 09:29:07 UTC,16.0,Nuts,Nuts,Type 1,2011-02-09 00:37:15 UTC,2017-06-19 21:00:07 UTC,,,False,specific,3818.0,True
16,17,Burdock,Arctium lappa,"Arctium lappa, commonly called greater burdock, gob?,edible burdock, lappa, or beggar's buttons, is a biennial plant of the Arctium (burdock) genus in the Asteraceae family, cultivated in gardens for its root used as a vegetable. It is an invasive weed of high-nitrogen soils.
The root contains a fair amount of gob? dietary fiber (GDF, 6g per 100g), calcium, potassium, amino acids, and is low calorie. It contains polyphenols that causes darkened surface and muddy harshness by formation of tannin-iron complexes. Those polyphenols are caffeoylquinic acid derivatives.
The root is very crisp and has a sweet, mild, and pungent flavor with a little muddy harshness that can be reduced by soaking julienned/shredded roots in water for five to ten minutes. The harshness shows excellent harmonization with pork in miso soup (tonjiru) and takikomi gohan (a Japanese-style pilaf).",36545.0,Arctium_lappa,17.jpg,image/jpeg,127987.0,2012-04-20 09:34:44 UTC,17.0,Vegetables,Root vegetables,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,4217.0,True
17,18,Horseradish,Armoracia rusticana,"Horseradish (Armoracia rusticana, syn. Cochlearia armoracia) is a perennial plant of the Brassicaceae family (which also includes mustard, wasabi, broccoli, and cabbage). The plant is probably native to southeastern Europe and western Asia. It is now popular around the world. It grows up to 1.5��metres (5 feet) tall, and is cultivated primarily for its large, white, tapered root. The intact horseradish root has hardly any aroma. When cut or grated, however, enzymes from the now-broken plant cells break down sinigrin to produce allyl isothiocyanate, which irritates the mucous membranes of the sinuses and eyes. Once exposed to air (via grating) or heat, if not used immediately or mixed in vinegar, the grated mash darkens, loses its pungency, and becomes unpleasantly bitter-tasting.",23044.0,Horseradish,18.jpg,image/jpeg,133514.0,2012-04-20 09:33:47 UTC,18.0,Herbs and Spices,Spices,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,3704.0,True
18,19,Tarragon,Artemisia dracunculus,"Tarragon (Artemisia dracunculus) is a species of perennial herb in the family Asteraceae. One sub-species, Artemisia dracunculus var. sativa, is cultivated for use of the leaves as an aromatic culinary herb. In some other sub-species, the characteristic aroma is largely absent. The species is polymorphic. Informal names for distinguishing the variations include ""French tarragon"" (best for culinary use), ""Russian tarragon"" (typically better than wild tarragon but not as good as so-called French tarragon for culinary use), and ""wild tarragon"" (covers various states).
Tarragon is one of the four fines herbes of French cooking, and is particularly suitable for chicken, fish and egg dishes. Tarragon is the main flavoring component of B��arnaise sauce. Fresh, lightly bruised sprigs of tarragon are steeped in vinegar to produce tarragon vinegar.
Tarragon is used to flavor a popular carbonated soft drink in the countries of Azerbaijan, Armenia, Georgia and, by extension, Russia, Ukraine and Kazakhstan. The drink, named Tarhun (Armenian pronunciation: [t???xun] ???????), is made out of sugary tarragon concentrate and colored bright green.",35462.0,Artemisia_dracunculus,19.jpg,image/jpeg,91707.0,2012-04-20 09:30:20 UTC,19.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,72341.0,True
19,20,Mugwort,Artemisia vulgaris,"Mugwort (Artemisia vulgaris), or common wormwood, is a medicinal and culinary herb native to Eurasia and northern Africa. Mugwort may also refer to:",35505.0,List of plants named mugwort,20.jpg,image/jpeg,28425.0,2012-04-20 09:38:57 UTC,20.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,4220.0,True
20,21,Asparagus,Asparagus officinalis,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.",42784.0,Asparagus,21.jpg,image/jpeg,136631.0,2012-04-20 09:32:33 UTC,21.0,Vegetables,Shoot vegetables,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,4686.0,True
22,23,Star fruit,Averrhoa carambola,"Averrhoa carambola is a species of woody plant in the family Oxalidaceae; it has a number of common names including Carambola and Starfruit. This evergreen tree is native to Southeast Asia and the Indian Subcontinent. A. carambola is a small tree or shrub that grows 5���12 meters tall, with rose to red-purple flowers. The flowers are small and bell-shaped, with five petals that have whitish edges. The flowers are often produced year round under tropical conditions. The tree is cultivated in tropical and semitropical regions for its edible fruits and for medicinal uses.",506371.0,Averrhoa carambola,23.jpg,image/jpeg,69876.0,2012-04-20 09:29:11 UTC,23.0,Fruits,Tropical fruits,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,28974.0,True
23,24,Brazil nut,Bertholletia excelsa,"The Brazil nut (Bertholletia excelsa) is a South American tree in the family Lecythidaceae, and also the name of the tree's commercially harvested edible seed.",21989.0,Brazil nut,24.jpg,image/jpeg,32804.0,2012-04-20 09:40:52 UTC,24.0,Nuts,Nuts,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,3645.0,True
24,25,Common beet,Beta vulgaris,"The beet (Beta vulgaris) is a plant in the Chenopodiaceae family which is now included in Amaranthaceae family. It is best known in its numerous cultivated varieties, the most well known of which is the root vegetable known as the beetroot or garden beet. However, other cultivated varieties include the leaf vegetable chard, as well as the root vegetable sugar beet, which is important in the production of table sugar, and mangelwurzel, which is a fodder crop. Three subspecies are typically recognised. All cultivated varieties fall into the subspecies Beta vulgaris subsp. vulgaris, while Beta vulgaris subsp. maritima, commonly known as the sea beet, is the wild ancestor of these, and is found throughout the Mediterranean, the Atlantic coast of Europe, the Near East, and India. A second wild subspecies, Beta vulgaris subsp. adanensis, occurs from Greece to Syria. The roots are most commonly deep red-purple in color, but come in a wide variety of other shades, including golden yellow and red-and-white striped. Beta vulgaris is a herbaceous biennial or, rarely, perennial plant with leafy stems growing to 1���2 m tall. The leaves are heart-shaped, 5���20��cm long on wild plants (often much larger in cultivated plants). The flowers are produced in dense spikes; each flower is very small, 3���5��mm diameter, green or tinged reddish, with five petals; they are wind pollinated. The fruit is a cluster of hard nutlets.",20681.0,Beet,25.jpg,image/jpeg,81715.0,2012-04-20 09:44:15 UTC,25.0,Vegetables,Leaf vegetables,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,161934.0,True
25,26,Borage,Borago officinalis,"Borage (Borago officinalis), also known as a starflower, is an annual herb. It is native to the Mediterranean region and has naturalized in many other locales. It grows satisfactorily in gardens in the UK climate, remaining in the garden from year to year by self-seeding. The leaves are edible and the plant is grown in gardens for that purpose in some parts of Europe. The plant is also commercially cultivated for borage seed oil extracted from its seeds.",31727.0,Borage,26.jpg,image/jpeg,127785.0,2012-04-20 09:39:14 UTC,26.0,Herbs and Spices,Oilseed crops,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,13363.0,True
26,27,Chinese mustard,Brassica juncea,"Brassica juncea, also known as mustard greens, Indian mustard, Chinese mustard, and leaf mustard, is a species of mustard plant. Subvarieties include southern giant curled mustard, which resembles a headless cabbage such as kale, but with a distinct horseradish-mustard flavor. It is also known as green mustard cabbage.",23059.0,Brassica juncea,27.jpg,image/jpeg,69555.0,2012-04-20 09:36:31 UTC,27.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,3707.0,True
27,28,Swede,Brassica napus,"The swede (from Swedish turnip), rutabaga, turnip, yellow turnip, or neep (Brassica napobrassica, or Brassica napus var. napobrassica, or Brassica napus subsp. rapifera) is a root vegetable that originated as a cross between the cabbage and the turnip. The roots are prepared for human food in a variety of ways, and the leaves can be eaten as a leaf vegetable. The roots and tops are also used as winter feed for livestock, when they may be fed directly, or by allowing the animals to forage the plants in the field.",23060.0,Rutabaga,28.jpg,image/jpeg,252530.0,2012-04-20 09:38:44 UTC,28.0,Vegetables,Root vegetables,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,3708.0,True
28,29,Rape,Brassica napus var. napus,"Rapeseed (Brassica napus), also known as rape, oilseed rape, rapa, rappi, rapaseed (and, in the case of one particular group of cultivars, canola), is a bright yellow flowering member of the family Brassicaceae (mustard or cabbage family). The name derives from the Latin for turnip, r?pa or r?pum, and is first recorded in English at the end of the 14th century. Older writers usually distinguished the turnip and rape by the adjectives round and long (-rooted), respectively. See also Brassica napobrassica, which may be considered a variety of Brassica napus. Some botanists include the closely related Brassica campestris within B. napus.. Brassica napus is cultivated mainly for its oil-rich seed, the third largest source of vegetable oil in the world.",530955.0,Rapeseed,29.jpg,image/jpeg,107459.0,2012-04-20 09:32:03 UTC,29.0,Vegetables,Root vegetables,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,138011.0,True
29,30,Common cabbage,Brassica oleracea,"Brassica oleracea is the species of plant that includes many common foods as cultivars, including cabbage, broccoli, cauliflower, kale, Brussels sprouts, savoy, and Chinese kale. In its uncultivated form it is known as wild cabbage. It is native to coastal southern and western Europe. Its tolerance of salt and lime and its intolerance of competition from other plants typically restrict its natural occurrence to limestone sea cliffs, like the chalk cliffs on both sides of the English Channel.
B. oleracea has become established as an important human food crop plant, used because of its large food reserves, which are stored over the winter in its leaves. It is rich in essential nutrients including vitamin C. A diet rich in cruciferous vegetables (e.g., cabbage, broccoli, cauliflower) is linked to a reduced risk of several human cancers.",23062.0,Brassica_oleracea,30.jpg,image/jpeg,146148.0,2012-04-20 09:35:56 UTC,32.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,2.0,False,specific,3712.0,True
30,31,Cauliflower,Brassica oleracea var. botrytis,"Cauliflower is one of several vegetables in the species Brassica oleracea, in the family Brassicaceae. It is an annual plant that reproduces by seed. Typically, only the head (the white curd) is eaten. The cauliflower head is composed of a white inflorescence meristem. Cauliflower heads resemble those in broccoli, which differs in having flower buds.
Its name is from Latin caulis (cabbage) and flower. Brassica oleracea also includes broccoli, brussels sprouts, cabbage, collard greens, and kale, though they are of different cultivar groups.
Cauliflower is low in fat, low in carbohydrates but high in dietary fiber, folate, water, and vitamin C, possessing a high nutritional density.
Cauliflower can be roasted, boiled, fried, steamed, or eaten raw.",530957.0,Cauliflower,31.jpg,image/jpeg,8882.0,2012-04-20 09:33:20 UTC,33.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,3715.0,True
31,32,Brussel sprouts,Brassica oleracea var. gemmifera,"The Brussels sprout is a cultivar in the Gemmifera group of cabbages, grown for its edible buds. The leafy green vegetables are typically 2.5���4��cm (0.98���1.6��in) in diameter and look like miniature cabbages. The Brussels sprout has long been popular in Brussels, Belgium, and may have originated there.",530959.0,Brussels sprout,32.jpg,image/jpeg,98545.0,2012-04-20 09:29:05 UTC,34.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,178616.0,True
32,33,Kohlrabi,Brassica oleracea var. gongylodes,"Kohlrabi (German turnip or turnip cabbage) (Brassica oleracea Gongylodes group) (Olkopi in Assamese and Bengali) (Monji Haak in Kashmiri) is an annual vegetable, and is a low, stout cultivar of cabbage. Kohlrabi can be eaten raw as well as cooked.
Kohlrabi stems are surrounded by two distinct fibrous layers that do not soften appreciably when cooked. These layers are generally peeled away prior to cooking or serving raw, with the result that the stems often provide a smaller amount of food than one might assume from their intact appearance.
The Kohlrabi root is frequently used raw in salad or slaws. It has a texture similar to that of a broccoli stem, but with a flavor that is sweeter and less vegetal.
Kohlrabi leaves are edible and can be used interchangeably with collard and kale.
Kohlrabi is an important part of the Kashmiri diet and one of the most commonly cooked foods. It is prepared with its leaves and served with a light gravy and eaten with rice.
Some varieties are grown as feed for cattle.",530960.0,Kohlrabi,33.jpg,image/jpeg,101642.0,2012-04-20 09:30:26 UTC,35.0,Vegetables,Root vegetables,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,109379.0,True
33,34,Broccoli,Brassica oleracea var. italica,"Broccoli is an edible green plant in the cabbage family, whose large flowering head is used as a vegetable. The word broccoli comes from the Italian plural of broccolo, which means ""the flowering top of a cabbage"", and is the diminutive form of brocco, meaning ""small nail"" or ""sprout"". Broccoli is often boiled or steamed but may be eaten raw.",530961.0,Broccoli,34.jpg,image/jpeg,319365.0,2012-04-20 09:35:09 UTC,36.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,True,specific,36774.0,True
34,35,Chinese cabbage,Brassica rapa,"Chinese cabbage (Brassica rapa, subspecies pekinensis and chinensis) can refer to two distinct varieties of Chinese leaf vegetables often used in Chinese cuisine: Pekinensis (napa cabbage) and Chinensis (bok choi).
These vegetables are both variant cultivars or subspecies of the turnip and belong to the same genus as such Western staples as cabbage, broccoli, and cauliflower. Both have many variations in name, spelling, and scientific classification?especially the bok choy (B. rapa chinensis) variety.",23063.0,Chinese_cabbage,35.jpg,image/jpeg,22799.0,2012-04-20 09:44:30 UTC,37.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,False,specific,3711.0,True
35,36,Turnip,Brassica rapa var. rapa,"The turnip or white turnip (Brassica rapa subsp. rapa) is a root vegetable commonly grown in temperate climates worldwide for its white, bulbous taproot. Small, tender varieties are grown for human consumption, while larger varieties are grown as feed for livestock.
In the north of England and Scotland, turnip (or neep; the word turnip itself is an old compound of neep) refers to the larger, yellow rutabaga root vegetable which is also known as the ""swede"" (from ""Swedish turnip"").",526965.0,Turnip,36.jpg,image/jpeg,54139.0,2012-04-20 09:41:32 UTC,39.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:16 UTC,2017-03-20 21:26:23 UTC,,,True,specific,51350.0,True
36,37,Pigeon pea,Cajanus cajan,"The pigeon pea (Cajanus cajan) is a perennial legume from the family Fabaceae. Since its domestication in India at least 3,500 years ago, its seeds have become a common food grain in Asia, Africa, and Latin America. It is consumed on a large scale mainly in south Asia and is a major source of protein for the population of that subcontinent. Pigeon peas are both a food crop (dried peas, flour, or green vegetable peas) and a forage/cover crop. In combination with cereals, pigeon peas make a well-balanced human food. The dried peas may be sprouted briefly, then cooked, for a flavor different from the green or dried peas. Sprouting also enhances the digestibility of dried pigeon peas via the reduction of indigestible sugars that would otherwise remain in the cooked dried peas. Pigeon peas contain high levels of protein and the important amino acids methionine, lysine, and tryptophan. [Wikipedia]",26516.0,Pigeon pea,37.jpg,image/jpeg,95750.0,2012-04-20 09:44:09 UTC,40.0,Pulses,Peas,Type 1,2011-02-09 00:37:16 UTC,2017-06-24 04:27:39 UTC,,,False,specific,3821.0,True
37,38,Tea,Camellia sinensis,"Tea is an aromatic beverage commonly prepared by pouring hot or boiling water over cured leaves of the tea plant, Camellia sinensis. After water, tea is the most widely consumed beverage in the world. It has a cooling, slightly bitter, and astringent flavour that many people enjoy.",506801.0,Tea,38.jpg,image/jpeg,52986.0,2012-04-20 09:36:34 UTC,41.0,Teas,Teas,Type 1,2011-02-09 00:37:17 UTC,2017-03-20 21:26:23 UTC,,2.0,False,specific,4442.0,True
38,39,Capers,Capparis spinosa,"Capparis spinosa, the caper bush, also called Flinders rose, is a perennial winter-deciduous plant that bears rounded, fleshy leaves and large white to pinkish-white flowers. The plant is best known for the edible flower buds (capers), often used as a seasoning, and the fruit (caper berry), both of which are usually consumed pickled. Other species of Capparis are also picked along with C. spinosa for their buds or fruits. Other parts of Capparis plants are used in the manufacture of medicines and cosmetics.",505885.0,Capers,39.jpg,image/jpeg,31305.0,2012-04-20 09:32:22 UTC,42.0,Herbs and Spices,Spices,Type 1,2011-02-09 00:37:17 UTC,2017-03-20 21:26:23 UTC,,,False,specific,65558.0,True
